discord_uuid,discord_name,riot_id,tracker,pr,team
1419878361001361470,greenrasins,Rain#lucid,https://tracker.gg/valorant/profile/riot/Rain%23lucid/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,1,Solar Reign
664687617098514463,fsjose,HoeZay#Tubby,https://tracker.gg/valorant/profile/riot/HoeZay%23Tubby/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,5,One Designated Driver
661713255206617089,_e_c_o_,jamji#wee,https://tracker.gg/valorant/profile/riot/jamji%23wee/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,6,One Designated Driver
580962324492451840,hamidr9,hamon#2394,https://tracker.gg/valorant/profile/riot/hamon%232394/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,0,One Designated Driver
1426792868076453978,ilovecattz1_49785,haunt#1212,https://tracker.gg/valorant/profile/riot/haunt%231212/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,1,One Designated Driver
508798732909936670,yourantidepressant_,i fill#loser,https://tracker.gg/valorant/profile/riot/i%20fill%23loser/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,One Designated Driver
424313091329622027,eggsdies,sweddie#MSS,https://tracker.gg/valorant/profile/riot/sweddie%23MSS/performance?platform=pc&playlist=competitive,6,ATOR White
579682468429299733,ariso_,ariso#0202,https://tracker.gg/valorant/profile/riot/ariso%230202/performance?platform=pc&playlist=competitive,5,ATOR White
1112104864743440424,pastvayne,pastvayne#vayne,https://tracker.gg/valorant/profile/riot/pastvayne%23vayne/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,1,ATOR White
299242305229946881,acepilot147,acepilot147#3719,https://tracker.gg/valorant/profile/riot/acepilot147%233719/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,0,ATOR White
